Distance_to_2019,Distance_to_2024,LandCover_2019,LandCover_2024,latitude,longitude
10,20,1,1,-8.82230949,115.1530151
28.28427125,28.28427125,1,1,-8.844497877,115.1538235
14.14213562,10,1,1,-8.83587405,115.1148367
22.36067977,0,1,2,-8.794192221,115.1570575
36.05551275,14.14213562,1,1,-8.840275795,115.1095366
22.36067977,22.36067977,1,1,-8.842791078,115.1153757
22.36067977,10,1,1,-8.796348178,115.1276826
14.14213562,10,1,1,-8.836053713,115.1173519
41.23105626,31.6227766,1,1,-8.813685663,115.2082615
14.14213562,10,1,1,-8.833089273,115.123191
10,0,1,2,-8.809014423,115.1074705
10,10,1,1,-8.807127961,115.2026919
10,10,1,1,-8.819884038,115.2179633
10,10,1,1,-8.79473121,115.2118547
36.05551275,42.42640687,1,1,-8.810990717,115.1737661
41.23105626,22.36067977,1,1,-8.81000257,115.2182328
10,10,1,1,-8.845575855,115.120496
10,10,1,1,-8.84701316,115.1511286
10,10,1,1,-8.831112979,115.2099683
10,10,1,1,-8.799761776,115.2205684
10,10,1,1,-8.837670681,115.1948766
22.36067977,20,1,1,-8.821411174,115.2012546
14.14213562,10,1,1,-8.79059896,115.1422353
31.6227766,0,1,2,-8.83470624,115.1596626
44.72135955,22.36067977,1,1,-8.784220922,115.1484337
22.36067977,14.14213562,1,1,-8.833268936,115.1640643
36.05551275,14.14213562,1,1,-8.819255218,115.1435828
10,10,1,1,-8.832550284,115.2136513
36.05551275,10,1,1,-8.836323208,115.1614592
28.28427125,10,1,1,-8.83587405,115.1742153
22.36067977,10,1,1,-8.839018154,115.1264249
20,10,1,1,-8.82114168,115.1782577
22.36067977,0,1,2,-8.803175374,115.2269464
10,10,1,1,-8.838568996,115.1440319
10,14.14213562,1,1,-8.839197817,115.1189689
10,10,1,1,-8.813955157,115.121035
10,20,1,1,-8.811080549,115.1202266
28.28427125,0,1,2,-8.827250224,115.098128
10,58.30951895,1,1,-8.820962017,115.2055665
50,0,1,2,-8.840814784,115.1716102
10,10,1,1,-8.80703813,115.1624474
80.62257748,72.80109889,1,1,-8.846204676,115.1769102
31.6227766,10,1,1,-8.804522847,115.1473557
60,10,1,1,-8.835604556,115.1884087
10,14.14213562,1,1,-8.83641304,115.1307368
20,40,1,1,-8.793922727,115.1906545
10,14.14213562,1,1,-8.821860332,115.1213045
20,58.30951895,1,1,-8.839826638,115.1694542
10,10,1,1,-8.789700645,115.1577761
14.14213562,20,1,1,-8.806768635,115.1720593
85.44003745,98.99494937,1,1,-8.787993846,115.2226345
10,0,1,2,-8.825184098,115.2113157
31.6227766,20,1,1,-8.794551547,115.1195977
20,36.05551275,1,1,-8.812607685,115.1743051
36.05551275,14.14213562,1,1,-8.822578984,115.132803
10,10,1,1,-8.817817913,115.1425946
10,10,1,1,-8.784041258,115.1688254
28.28427125,20,1,1,-8.838119839,115.105045
41.23105626,20,1,1,-8.842521583,115.10774
10,10,1,1,-8.805331331,115.195685
10,0,1,2,-8.839646975,115.1239096
10,41.23105626,1,1,-8.818087408,115.089055
36.05551275,63.2455532,1,1,-8.784400585,115.1520269
22.36067977,22.36067977,1,1,-8.836682534,115.1152858
20,10,1,1,-8.835514724,115.0944449
10,36.05551275,1,1,-8.797605819,115.2124835
36.05551275,14.14213562,1,1,-8.810182233,115.1084586
10,10,1,1,-8.833718094,115.1442116
20,0,1,2,-8.836053713,115.2043089
36.05551275,31.6227766,1,1,-8.77002754,115.2217362
20,44.72135955,1,1,-8.780807323,115.1518473
10,20,1,1,-8.827879044,115.1854442
10,10,1,1,-8.7952702,115.1584948
28.28427125,20,1,1,-8.816290777,115.1708017
20,10,1,1,-8.796527841,115.1424149
30,22.36067977,1,1,-8.81997387,115.1879595
22.36067977,10,1,1,-8.814314484,115.2238023
36.05551275,22.36067977,1,1,-8.817907745,115.1248978
20,14.14213562,1,1,-8.829765506,115.156788
10,10,1,1,-8.815572125,115.2014343
20,0,1,2,-8.84054529,115.1081891
14.14213562,0,1,2,-8.816829766,115.1916426
10,0,1,2,-8.833538431,115.1371149
22.36067977,10,1,1,-8.832011295,115.1374742
10,10,1,1,-8.798773629,115.1291199
10,36.05551275,1,1,-8.776315747,115.1862527
304.1381265,183.5755975,1,1,-8.788892161,115.2167056
10,41.23105626,1,1,-8.825812919,115.2025122
20,10,1,1,-8.802007564,115.1373844
82.46211251,170.2938637,1,1,-8.774608948,115.1917325
10,10,1,1,-8.818626397,115.1463675
10,0,1,2,-8.806139814,115.1862527
20,41.23105626,1,1,-8.844497877,115.1619982
14.14213562,10,1,1,-8.829046854,115.1530151
10,10,1,1,-8.808655097,115.1827493
64.03124237,322.0248438,1,1,-8.780807323,115.2180531
22.36067977,0,1,2,-8.82230949,115.0937263
31.6227766,10,1,1,-8.835335061,115.2041292
40,193.1320792,1,1,-8.773441138,115.1860731
10,22.36067977,1,1,-8.838928322,115.1842764
36.05551275,10,1,1,-8.830663822,115.1761018
14.14213562,14.14213562,1,1,-8.827879044,115.1505896
30,28.28427125,1,1,-8.837311355,115.1654118
44.72135955,396.2322551,1,1,-8.781885302,115.2168853
76.15773106,72.80109889,1,1,-8.785209068,115.1517574
22.36067977,78.10249676,1,1,-8.774519116,115.1873307
22.36067977,0,1,2,-8.831831632,115.1685559
64.03124237,72.11102551,1,1,-8.775147937,115.1835578
20,22.36067977,1,1,-8.803714363,115.1396302
